Host_Time_s,Raw_Data_Line
1765390599.023300,856
1765390599.023330,792
1765390599.051392,905
1765390599.054062,897
1765390599.054108,1005
1765390599.084315,1060
1765390599.084767,1081
1765390599.084795,1107
1765390599.114275,1233
1765390599.114307,1224
1765390599.114333,1390
1765390599.143624,1405
1765390599.143666,1510
1765390599.143944,1502
1765390599.174504,1513
1765390599.174562,1626
1765390599.174946,1648
1765390599.204446,1704
1765390599.204615,1785
1765390599.204923,1814
1765390599.234355,1918
1765390599.234591,1902
1765390599.234632,1904
1765390599.263301,1998
1765390599.263338,2024
1765390599.263552,2094
1765390599.291740,2191
1765390599.293246,2218
1765390599.293290,2209
1765390599.323293,2268
1765390599.323346,2369
1765390599.323555,2398
1765390599.351558,2399
1765390599.354119,2532
1765390599.354172,2519
1765390599.384371,2596
1765390599.384726,2705
1765390599.384761,2747
1765390599.414413,2846
1765390599.414509,2775
1765390599.414797,2798
1765390599.444189,2877
1765390599.444238,2891
1765390599.444451,2901
1765390599.474281,2998
1765390599.474326,3042
1765390599.474646,3107
1765390599.503526,3135
1765390599.503579,3204
1765390599.503819,3263
1765390599.531416,3329
1765390599.533340,3390
1765390599.533383,3426
1765390599.561474,3451
1765390599.563405,3495
1765390599.563448,3555
1765390599.591716,3694
1765390599.593436,3599
1765390599.593568,3777
1765390599.623338,3808
1765390599.623395,3803
1765390599.623631,3857
1765390599.651719,3949
1765390599.653172,3892
1765390599.653217,3904
1765390599.681454,3835
1765390599.683270,3768
1765390599.683392,3790
1765390599.712026,3778
1765390599.714193,3769
1765390599.714232,3756
1765390599.744211,3730
1765390599.744568,3684
1765390599.744611,3514
1765390599.773571,3387
1765390599.773632,3293
1765390599.773979,3177
1765390599.801582,3138
1765390599.803411,2962
1765390599.803457,2896
1765390599.831636,2725
1765390599.833356,2635
1765390599.833399,2531
1765390599.861459,2324
1765390599.863367,2205
1765390599.863492,2080
1765390599.891804,2053
1765390599.893242,1978
1765390599.893289,2028
1765390599.921257,1858
1765390599.923254,1753
1765390599.923297,1615
1765390599.951348,1606
1765390599.953259,1536
1765390599.953293,1449
1765390599.981790,1382
1765390599.983334,1286
1765390599.983379,1198
1765390600.011742,1085
1765390600.013175,975
1765390600.013227,964
1765390600.041492,863
1765390600.043466,818
1765390600.043502,713
1765390600.071535,626
1765390600.073458,655
1765390600.073503,612
1765390600.101537,559
1765390600.103394,521
1765390600.103437,507
1765390600.133274,440
1765390600.133377,430
1765390600.133661,452
1765390600.161504,446
1765390600.163399,355
1765390600.163437,369
1765390600.193348,309
1765390600.193404,258
1765390600.193674,270
1765390600.221785,316
1765390600.223271,293
1765390600.223301,316
1765390600.251761,230
1765390600.253251,258
1765390600.253299,271
1765390600.281525,295
1765390600.283343,277
1765390600.283413,260
1765390600.311513,301
1765390600.313133,335
1765390600.313250,393
1765390600.342266,331
1765390600.343146,295
1765390600.343357,282
1765390600.371552,341
1765390600.373401,297
1765390600.373616,325
1765390600.401608,381
1765390600.403437,369
1765390600.403493,442
1765390600.431399,367
1765390600.433182,405
1765390600.433232,409
1765390600.461643,385
1765390600.463302,482
1765390600.463357,468
1765390600.491372,475
1765390600.493242,523
1765390600.493289,538
1765390600.521865,529
1765390600.523196,551
1765390600.523432,667
1765390600.551922,651
1765390600.554013,776
1765390600.554057,829
1765390600.583476,832
1765390600.583524,1023
1765390600.583889,1055
1765390600.611538,1204
1765390600.613163,1171
1765390600.613266,1337
1765390600.643672,1352
1765390600.643761,1477
1765390600.644140,1555
1765390600.672154,1527
1765390600.674296,1693
1765390600.674343,1711
1765390600.704415,1796
1765390600.704523,1879
1765390600.704788,2016
1765390600.734309,2063
1765390600.734545,2227
1765390600.734880,2227
1765390600.764390,2234
1765390600.764450,2350
1765390600.764699,2362
1765390600.793326,2505
1765390600.793388,2497
1765390600.793657,2598
1765390600.821783,2595
1765390600.824028,2698
1765390600.824073,2818
1765390600.854144,2785
1765390600.854184,2876
1765390600.854432,2921
1765390600.883327,3100
1765390600.883374,3157
1765390600.883657,3217
1765390600.912019,3268
1765390600.914102,3341
1765390600.914147,3496
1765390600.944186,3608
1765390600.944231,3689
1765390600.944577,3777
1765390600.974273,3777
1765390600.974503,3805
1765390600.974650,3871
1765390601.003363,3956
1765390601.003603,3984
1765390601.003655,4095
1765390601.031521,4174
1765390601.033337,4175
1765390601.033388,4176
1765390601.062054,4238
1765390601.064351,4214
1765390601.064399,4312
1765390601.093275,4214
1765390601.093334,4367
1765390601.093594,4258
1765390601.121505,4360
1765390601.123214,4240
1765390601.123288,4212
1765390601.151442,4214
1765390601.153168,4121
1765390601.153221,4007
1765390601.181475,3964
1765390601.183329,3868
1765390601.183374,3825
1765390601.211508,3770
1765390601.213357,3667
1765390601.213388,3499
1765390601.241489,3492
1765390601.243371,3312
1765390601.243414,3222
1765390601.271527,3111
1765390601.273369,3024
1765390601.273554,2822
1765390601.301522,2622
1765390601.303342,2513
1765390601.303392,2370
